Date;NASDAQ:GOOG;NASDAQ:MSFT;NASDAQ:AMZN;NASDAQ:FB
03.02.2020 16:00;1389.11;172.79;1953.95;196.44
03.03.2020 16:00;1341.39;164.51;1908.99;185.89
03.04.2020 16:00;1386.52;170.55;1975.83;191.76
03.05.2020 16:00;1319.04;166.27;1924.03;185.17
03.06.2020 16:00;1298.41;161.57;1901.09;181.09
03.09.2020 16:00;1215.56;150.62;1800.61;169.5
03.10.2020 16:00;1280.39;160.92;1891.82;178.19
03.11.2020 16:00;1215.41;153.63;1820.86;170.24
03.12.2020 16:00;1114.91;139.06;1676.61;154.47
3/13/2020 16:00:00;1219.73;158.83;1785;170.28
3/16/2020 16:00:00;1084.33;135.42;1689.15;146.01
3/17/2020 16:00:00;1119.8;146.57;1807.84;149.42
3/18/2020 16:00:00;1096.8;140.4;1830;146.96
3/19/2020 16:00:00;1115.29;142.71;1880.93;153.13
3/20/2020 16:00:00;1072.32;137.35;1846.09;149.73
3/23/2020 16:00:00;1056.62;135.98;1902.83;148.1
3/24/2020 16:00:00;1134.46;148.34;1940.1;160.98
3/25/2020 16:00:00;1102.49;146.92;1885.84;156.21
3/26/2020 16:00:00;1161.75;156.11;1955.49;163.34
3/27/2020 16:00:00;1110.71;149.7;1900.1;156.79
3/30/2020 16:00:00;1146.82;160.23;1963.95;165.95
3/31/2020 16:00:00;1162.81;157.71;1949.72;166.8
04.01.2020 16:00;1105.62;152.11;1907.7;159.6
04.02.2020 16:00;1120.84;155.26;1918.83;158.19
04.03.2020 16:00;1097.88;153.83;1906.59;154.18
04.06.2020 16:00;1186.92;165.27;1997.59;165.55
04.07.2020 16:00;1186.51;163.49;2011.6;168.83
04.08.2020 16:00;1210.28;165.13;2043;174.28
04.09.2020 16:00;1211.45;165.14;2042.76;175.19
4/13/2020 16:00:00;1217.56;165.51;2168.87;174.79
4/14/2020 16:00:00;1269.23;173.7;2283.32;178.17
4/15/2020 16:00:00;1262.47;171.88;2307.68;176.97
4/16/2020 16:00:00;1263.47;177.04;2408.19;176.25
4/17/2020 16:00:00;1283.25;178.6;2375;179.24
4/20/2020 16:00:00;1266.61;175.06;2393.61;178.24
4/21/2020 16:00:00;1216.34;167.82;2328.12;170.8
4/22/2020 16:00:00;1263.21;173.52;2363.49;182.28
4/23/2020 16:00:00;1276.31;171.42;2399.45;185.13
4/24/2020 16:00:00;1279.31;174.55;2410.22;190.07
4/27/2020 16:00:00;1275.88;174.05;2376;187.5
4/28/2020 16:00:00;1233.67;169.81;2314.08;182.91
4/29/2020 16:00:00;1341.48;177.43;2372.71;194.19
4/30/2020 16:00:00;1348.66;179.21;2474;204.71
05.01.2020 16:00;1320.61;174.57;2286.04;202.27
05.04.2020 16:00;1326.8;178.84;2315.99;205.26
05.05.2020 16:00;1351.11;180.76;2317.8;207.07
05.06.2020 16:00;1347.3;182.54;2351.26;208.47
05.07.2020 16:00;1372.56;183.6;2367.61;211.26
05.08.2020 16:00;1388.37;184.68;2379.61;212.35
05.11.2020 16:00;1403.26;186.74;2409;213.18
05.12.2020 16:00;1375.74;182.51;2356.95;210.1
5/13/2020 16:00:00;1349.33;179.75;2367.92;205.1
5/14/2020 16:00:00;1356.13;180.53;2388.85;206.81
5/15/2020 16:00:00;1373.19;183.16;2409.78;210.88
5/18/2020 16:00:00;1383.94;184.91;2426.26;213.19
5/19/2020 16:00:00;1373.49;183.63;2449.33;216.88
5/20/2020 16:00:00;1406.72;185.66;2497.94;229.97
5/21/2020 16:00:00;1402.8;183.43;2446.74;231.39
5/22/2020 16:00:00;1410.42;183.51;2436.88;234.91
5/26/2020 16:00:00;1417.02;181.57;2421.86;232.2
5/27/2020 16:00:00;1417.84;181.81;2410.39;229.14
5/28/2020 16:00:00;1416.73;181.4;2401.1;225.46
5/29/2020 16:00:00;1428.92;183.25;2442.37;225.09
06.01.2020 16:00;1431.82;182.83;2471.04;231.91
06.02.2020 16:00;1439.22;184.91;2472.41;232.72
06.03.2020 16:00;1436.38;185.36;2478.4;230.16
06.04.2020 16:00;1412.18;182.92;2460.6;226.29
06.05.2020 16:00;1438.39;187.2;2483;230.77
06.08.2020 16:00;1446.61;188.36;2524.06;231.4
06.09.2020 16:00;1456.16;189.8;2600.86;238.67
06.10.2020 16:00;1465.85;196.84;2647.45;236.73
06.11.2020 16:00;1403.84;186.27;2557.96;224.43
06.12.2020 16:00;1413.18;187.74;2545.02;228.58
